jobCode,team,skill,subSkill,minValue
DPPP1,SPE West,Analytical Thinking,Problem Solving,2
DPPP1,SPE West,Budgeting,Accounting,1
DPPP1,SPE West,Business Intelligence Tools,Subskill 3,1
DPPP1,SPE West,Communication,Collaboration across BU/Function,2
DPPP1,SPE West,Communication,Responsibility - customer centric,2
DPPP1,SPE West,Consulting,Subskill 4,1
DPPP1,SPE West,Contract Management,Contract Management,1
DPPP1,SPE West,Customer Orientation,Ownership Accountability,2
DPPP1,SPE West,Decision Making,Subskill 6,1
DPPP1,SPE West,Digital Literacy,On boarding Training Path,2
DPPP1,SPE West,Digital Literacy,On boarding plan - Regional path,2
DPPP1,SPE West,Digital Literacy,MLL/Coursera,2
DPPP1,SPE West,Digital Literacy,Teams/Outlook/M365,2
DPPP1,SPE West,Digital Literacy,Spice+,2
DPPP1,SPE West,Digital Literacy,Folder,2
DPPP1,SPE West,Digital Literacy,SEA,2
DPPP1,SPE West,Digital Literacy,bFO,2
DPPP1,SPE West,Digital Literacy,CPS,2
DPPP1,SPE West,Digital Literacy,Cust Sat Tool - SCR/PET,2
DPPP1,SPE West,Digital Literacy,Who's who,2
DPPP1,SPE West,Digital Literacy,Escalation process,2
DPPP1,SPE West,Digital Literacy,PHR,2
DPPP1,SPE West,Digital Literacy,Career Hub,2
DPPP1,SPE West,Digital Literacy,Achievers,2
DPPP1,SPE West,Financial Management,Financial Acumen,1
DPPP1,SPE West,Operational Efficiency,AI learning & mechanics,2
DPPP1,SPE West,Prioritization,Subskill 9,2
DPPP1,SPE West,Project Management,Change Order Management,2
DPPP1,SPE West,Project Management,Technical Support,2
DPPP1,SPE West,Project Management,NB4 Date Management,2
DPPP1,SPE West,Project Management,APM Certification,2
DPPP1,SPE West,Project Management,PMP Certification,2
DPPP1,SPE West,Reporting,Reporting,1
DPPP1,SPE West,Risk Management,Risk Management & Method,1
DPPP1,SPE West,Safety Regulations,Subskill 11,2
DPPP2,SPE West,Analytical Thinking,Problem Solving,2
DPPP2,SPE West,Budgeting,Accounting,1
DPPP2,SPE West,Communication,Collaboration across BU/Function,2
DPPP2,SPE West,Communication,Responsibility - Customer Centric,2
DPPP2,SPE West,Consulting,Subskill 4,1
DPPP2,SPE West,Contract Management,Contract Management,1
DPPP2,SPE West,Customer Orientation,Ownership Accountability,2
DPPP2,SPE West,Decision Making,Subskill 6,2
DPPP2,SPE West,Digital Literacy,On boarding Training Path,2
DPPP2,SPE West,Digital Literacy,On boarding plan - Regional path,2
DPPP2,SPE West,Digital Literacy,MLL/Coursera,2
DPPP2,SPE West,Digital Literacy,Teams/Outlook/M365,2
